IncidentKey,Offense,Latitude,Longitude,Cluster,Score,Hour,Minute,Day,Month,Year
168,Vandalism,38.0440729,-78.48424041353502,72,42.043546705922445,03,42,26,02,2023
169,Drug Investigation,38.025224,-78.495724,73,38.7509570575753,14,32,25,02,2023
170,Larceny - From Motor Vehicle,38.030236,-78.4854427,14,41.372439510586304,11,02,25,02,2023
171,Larceny - From Motor Vehicle,38.03068046464647,-78.48714028282828,49,30.87146939593639,10,40,25,02,2023
172,Larceny - Theft from Building,38.04036160404488,-78.47920247078642,21,47.91308112764411,09,32,25,02,2023
173,Larceny - Theft from Building,38.055399,-78.501326,28,46.8032828919381,09,31,25,02,2023
174,Shots Fired/Illegal Hunting,38.01903295,-78.4835404332187,8,44.41680250776333,06,10,25,02,2023
175,Vandalism,38.02709505,-78.48669751502052,52,45.32394487827058,04,49,25,02,2023
176,Disorderly Conduct,38.036205,-78.500388,26,64.77464829275686,00,50,25,02,2023
177,Narcotics,38.033312,-78.490383,12,46.783024077951374,18,48,24,02,2023
178,Stalking,38.01498,-78.503589,37,49.77464829275686,18,15,24,02,2023
179,Larceny - From Motor Vehicle,38.059771,-78.489877,30,19.8975963534891,17,53,24,02,2023
180,Larceny - Theft from Building,38.031935,-78.502684,42,38.79853973946922,16,20,24,02,2023
181,Assault Aggravated,38.0316444,-78.481579,74,59.85796743051306,01,02,24,02,2023
182,Assault Simple,38.0179021,-78.4883117908343,67,38.63972356627127,23,51,24,02,2023
183,Disorderly Conduct,38.033312,-78.490383,12,46.783024077951374,22,16,24,02,2023
184,Larceny - Theft from Building,38.029138,-78.4896,34,38.724456410567214,19,21,24,02,2023
185,Burglary,38.0300863,-78.4792865,4,52.85000143483159,19,00,24,02,2023
186,Motor Vehicle Theft,38.0557983,-78.49442917405682,59,34.60385394870243,07,06,23,02,2023
187,Hit and Run,38.03261011316929,-78.48449144968406,61,49.74280668117561,18,40,22,02,2023
188,Hit and Run,38.0299,-78.479216,4,52.85000143483159,14,01,22,02,2023
189,Larceny - Theft from Building,38.059631,-78.493202,2,39.37584991792697,10,58,22,02,2023
190,Larceny - All Other,38.02392535,-78.4552835738471,17,29.072941627763235,09,19,22,02,2023
191,Hit and Run,38.051824739586,-78.49808141273697,9,49.76487094809882,20,19,22,02,2023
192,Larceny - From Motor Vehicle,38.026555,-78.510288,51,37.33494429775271,18,12,21,02,2023
193,Larceny - From Motor Vehicle,38.01900755,-78.47112740301473,24,55.29618666837476,16,33,21,02,2023
194,Larceny - All Other,38.02315919672132,-78.47257750819672,64,65.59648365868483,14,31,21,02,2023
195,Motor Vehicle Theft,38.031672150000006,-78.48207537296204,74,59.85796743051306,14,15,21,02,2023
196,Harassment,38.014421,-78.500147,10,65.22756754965607,13,59,21,02,2023
197,Larceny - Theft from Building,38.03698165,-78.48948268727145,43,44.74497089752567,20,21,21,02,2023
198,Larceny - Theft from Building,38.031512,-78.507725,16,39.77468682452661,14,11,20,02,2023
199,Larceny - From Motor Vehicle,38.026555,-78.510288,51,37.33494429775271,12,54,20,02,2023
200,Vandalism,38.065133,-78.487115,19,25.47781829793444,18,04,19,02,2023
201,Disorderly Conduct,38.036205,-78.500388,26,64.77464829275686,01,46,19,02,2023
202,Assault Simple,38.0299348,-78.4800205968188,4,52.85000143483159,01,12,19,02,2023
203,Stalking,38.031513,-78.475828,53,52.3367096449612,22,16,19,02,2023
204,Assault Aggravated,38.032911,-78.494605,35,48.97695789545851,20,49,19,02,2023
205,Harassment,38.0272458,-78.472382,15,32.843055466806334,20,14,19,02,2023
206,Misc - Criminal Call,38.051108,-78.504188,56,74.54929658551373,19,29,19,02,2023
207,Hit and Run,38.03040590909091,-78.47779809090909,53,52.3367096449612,15,04,18,02,2023
208,Hit and Run,38.0281241,-78.50777855098642,62,45.73416393480868,14,02,18,02,2023
209,Harassment,38.042954,-78.49956,20,43.053130952674415,13,44,18,02,2023
210,Assault Simple,38.02291625,-78.48562913614194,41,20.68551264739651,13,41,18,02,2023
211,Larceny - All Other,38.03748735,-78.45963118610918,22,39.00350229189195,13,17,18,02,2023
212,Assault Simple,38.02709505,-78.48669751502052,52,45.32394487827058,10,52,18,02,2023
213,Assault Simple,38.057975600000006,-78.49398353428293,59,34.60385394870243,02,01,18,02,2023
214,Vandalism,38.036392,-78.499236,26,64.77464829275686,21,57,18,02,2023
215,Vandalism,38.029344,-78.490277,34,38.724456410567214,18,23,17,02,2023
216,Assault Simple,38.01498,-78.503589,37,49.77464829275686,18,04,17,02,2023
217,Larceny - Theft from Building,38.03391375,-78.49426260112143,69,42.53101394594943,17,42,17,02,2023
218,Assault Intimidation,38.022322,-78.469527,64,65.59648365868483,17,42,17,02,2023
219,Hit and Run,38.036567,-78.463353,22,39.00350229189195,07,42,17,02,2023
220,Larceny - From Motor Vehicle,38.05915887170204,-78.49357783324338,2,39.37584991792697,06,46,17,02,2023
221,Assault Simple,38.030686,-78.4816569,74,59.85796743051306,02,13,17,02,2023
222,Burglary,38.022322,-78.469527,64,65.59648365868483,21,39,17,02,2023
223,Larceny - From Motor Vehicle,38.028181,-78.47209,15,32.843055466806334,20,17,17,02,2023
224,Assault Intimidation,38.040799,-78.478315,21,47.91308112764411,18,37,16,02,2023
225,Larceny - Theft from Building,38.0306232,-78.4914372,34,38.724456410567214,17,51,16,02,2023
226,Misc - Criminal Call,38.052558,-78.472869,11,90.23196915419308,07,52,16,02,2023
227,Drug/Narcotics Violation,38.029051,-78.481339,4,52.85000143483159,06,54,16,02,2023
228,Assault Aggravated,38.032802,-78.496112,35,48.97695789545851,01,46,16,02,2023
229,Stalking,38.031513,-78.475828,53,52.3367096449612,22,42,16,02,2023
230,Sex Offense-forcible fondling,38.051108,-78.504188,56,74.54929658551373,17,48,15,02,2023
231,Larceny - All Other,38.02100178947369,-78.47394402631579,24,55.29618666837476,16,46,15,02,2023
232,Hit and Run,38.0300863,-78.4792865,4,52.85000143483159,16,40,15,02,2023
233,Larceny - From Motor Vehicle,38.046443,-78.461974,18,37.972949770904734,06,49,15,02,2023
234,Larceny - From Motor Vehicle,38.03165185,-78.4914551466223,12,46.783024077951374,17,46,14,02,2023
235,Larceny - All Other,38.031655,-78.490994,12,46.783024077951374,17,12,14,02,2023
236,Larceny - Theft from Building,38.038380700000005,-78.50707084,29,84.06378865780026,13,14,14,02,2023
237,Vandalism,38.02715,-78.486838,52,45.32394487827058,10,33,14,02,2023
238,Larceny - All Other,38.014199,-78.500077,10,65.22756754965607,21,36,14,02,2023
239,Assault Simple,38.0371876,-78.47681609463103,39,24.03629965254518,20,24,14,02,2023
240,Larceny - Theft from Building,38.035884,-78.48427107891689,44,45.06626583083122,17,41,13,02,2023
241,Larceny - Theft from Building,38.034526,-78.485289,61,49.74280668117561,16,27,13,02,2023
242,Larceny - Of Veh Parts/Access,38.0181529,-78.5008574,31,44.31340579927393,12,50,13,02,2023
243,Harassment,38.0342975,-78.47869695887096,39,24.03629965254518,18,24,12,02,2023
244,Vandalism,38.014567,-78.474194,66,48.77801712174125,11,18,12,02,2023
245,Hit and Run,38.04499246606938,-78.4929669535533,71,58.93245205863366,02,48,12,02,2023
246,Shots Fired/Illegal Hunting,38.033312,-78.490383,12,46.783024077951374,22,57,12,02,2023
247,Vandalism,38.05407373393144,-78.4921929174143,48,69.98581893263282,15,35,11,02,2023
248,Vandalism,38.02035435,-78.51447020491433,5,59.07676890468994,13,34,11,02,2023
249,Hit and Run,38.051824739586,-78.49808141273697,9,49.76487094809882,12,28,11,02,2023
250,Assault Intimidation,38.04928448376431,-78.50304978534088,32,45.93131473300872,11,52,11,02,2023
251,Assault Aggravated,38.033312,-78.490383,12,46.783024077951374,23,35,11,02,2023
252,Assault Simple,38.057975600000006,-78.49398353428293,59,34.60385394870243,18,56,10,02,2023
253,Misc - Criminal Call,38.052558,-78.472869,11,90.23196915419308,15,07,10,02,2023
254,Hit and Run,38.0253357,-78.4883176,41,20.68551264739651,14,52,10,02,2023
255,Assault Simple,38.05768605,-78.4913460269631,48,69.98581893263282,14,25,10,02,2023
256,Vandalism,38.035642,-78.49417,69,42.53101394594943,13,26,10,02,2023
257,Burglary,38.017259800000005,-78.51269124498788,33,50.36761315266413,13,14,10,02,2023
258,Larceny - All Other,38.04928448376431,-78.50304978534088,32,45.93131473300872,12,37,10,02,2023
259,Larceny - Of Veh Parts/Access,38.0386032,-78.4868737,7,37.73303578736149,08,50,10,02,2023
260,Assault Simple,38.051824739586,-78.49808141273697,9,49.76487094809882,23,18,10,02,2023
261,Vandalism,38.0328619,-78.46711230569801,13,69.67529530397307,22,15,10,02,2023
262,Hit and Run,38.055399,-78.501326,28,46.8032828919381,17,36,09,02,2023
263,Drug/Narcotics Violation,38.02235,-78.469476,64,65.59648365868483,17,05,09,02,2023
264,Death Investigation - DOA,38.0179306,-78.4836644903543,8,44.41680250776333,12,11,09,02,2023
265,Hit and Run,38.0263148,-78.497062996041,3,75.22153496527822,11,59,09,02,2023
266,Hit and Run,38.057975600000006,-78.49398353428293,59,34.60385394870243,06,07,09,02,2023
267,Vandalism,38.02463865,-78.49439386969078,73,38.7509570575753,21,00,09,02,2023
268,Motor Vehicle Theft,38.014199,-78.500077,10,65.22756754965607,18,39,08,02,2023
269,Larceny - All Other,38.03907275,-78.48068289423814,21,47.91308112764411,16,44,08,02,2023
270,Larceny - From Motor Vehicle,38.051672,-78.499994,9,49.76487094809882,15,50,08,02,2023
271,Hit and Run,38.014199,-78.500077,10,65.22756754965607,15,22,08,02,2023
272,Motor Vehicle Theft,38.022322,-78.469527,64,65.59648365868483,12,16,08,02,2023
273,Death Investigation - DOA,38.030236,-78.4854427,14,41.372439510586304,06,46,08,02,2023
274,Assault Aggravated,38.0376084,-78.48256584975957,44,45.06626583083122,00,23,08,02,2023
275,Assault Simple,38.030465,-78.477989,53,52.3367096449612,2,,08,02,2023
276,Larceny - From Motor Vehicle,38.02376815,-78.49986025558388,3,75.22153496527822,21,16,08,02,2023
277,Drug Investigation,38.0272458,-78.472382,15,32.843055466806334,20,31,08,02,2023
278,Larceny - Of Veh Parts/Access,38.0346851,-78.4879596240066,43,44.74497089752567,15,58,07,02,2023
279,Larceny - All Other,38.014199,-78.500077,10,65.22756754965607,15,53,07,02,2023
280,Larceny - Theft from Building,38.03696,-78.496657,1,54.87468559412127,09,25,07,02,2023
281,Larceny - All Other,38.0312077,-78.4763172,53,52.3367096449612,08,26,07,02,2023
282,Assault Simple,38.0291906,-78.48985059906124,34,38.724456410567214,23,59,07,02,2023
283,Driving Under the Influence,38.04222145,-78.50038699656061,20,43.053130952674415,23,10,07,02,2023
284,Motor Vehicle Theft,38.0647321,-78.48404174429739,19,25.47781829793444,17,09,06,02,2023
285,Disorderly Conduct,38.052558,-78.472869,11,90.23196915419308,14,01,06,02,2023
286,Hit and Run,38.0205701,-78.49554036429619,70,47.96437918643496,13,39,06,02,2023
287,Assault Simple,38.055399,-78.501326,28,46.8032828919381,13,37,06,02,2023
288,Death Investigation - DOA,38.036473,-78.489967,43,44.74497089752567,13,37,06,02,2023
289,Death Investigation - DOA,38.028565,-78.485949,52,45.32394487827058,13,07,06,02,2023
290,Hit and Run,38.025438,-78.476084,63,50.39321091367852,12,42,06,02,2023
291,Assault Simple,38.02980605,-78.4792609875,4,52.85000143483159,09,05,06,02,2023
292,Driving Under the Influence,38.04190745,-78.50000577949619,20,43.053130952674415,23,35,06,02,2023
293,Assault Simple,38.0395389,-78.50103642326721,20,43.053130952674415,20,10,06,02,2023
294,Assault Simple,38.023372,-78.490835,41,20.68551264739651,20,01,06,02,2023
295,Larceny - Theft from Building,38.0260138,-78.5221491533857,40,37.642267026734494,16,50,05,02,2023
296,Assault Simple,38.02980605,-78.4792609875,4,52.85000143483159,13,53,05,02,2023
297,Assault Intimidation,38.01686,-78.504566,37,49.77464829275686,12,28,05,02,2023
298,Hit and Run,38.0406306,-78.47788400704579,21,47.91308112764411,14,55,04,02,2023
299,Death Investigation - DOA,38.0406816,-78.47127109606862,6,41.33126465095743,13,01,04,02,2023
300,Assault Simple,38.0316444,-78.481579,74,59.85796743051306,11,12,04,02,2023
